Filename,Corpus,Collection,Author,Title,Translator,Original Year,Translation Year
es03.txt,Spanish,Mexico City Noir,Myriam Laurini,Hipódromo,Achy Obejas,,
es04.txt,Spanish,New Yorker,Mariana Enriquez,Spiderweb,Megan McDowell,,
es05.txt,Spanish,New Yorker,César Aira,Picasso,Chris Andrews,,
es06.txt,Spanish,New Yorker,Roberto Bolaño,Mexican Manifesto,Laura Healy,,
es07.txt,Spanish,New Yorker,Javier Marías,While the Women Are Sleeping,Margaret Jull Costa,,
es08.txt,Spanish,New Yorker,Guillermo Martínez,Vast Hell,Alberto Manguel,,
es09.txt,Spanish,Latin American Women,Isabel Allende,An Act of Vengeance,"E.D. Carter, Jr.",,
es10.txt,Spanish,Latin American Women,Dora Alonso,Sophia and the Angel,Beatriz Teleki,,
es11.txt,Spanish,Latin American Women,Helena Araujo,Asthmatic,Catherine Rodríguez-Nieto,,
es12.txt,Spanish,Latin American Women,María Luisa Bombal,The Tree,Richard Cunningham; Lucía Guerra,,
es13.txt,Spanish,Origins of Desire,Manuel Vazquez Montalban,"Helena, of Paris, France",Ed Emery,,
es14.txt,Spanish,Origins of Desire,Javier Tomeo,Short-sighted,Anthony Edkins,,
es15.txt,Spanish,Origins of Desire,Javier Marias,As the women sleep,Helen Lane,,
es16.txt,Spanish,Origins of Desire,Jose Maria Merino,Cousin Rosa,Nick Caistor,,
es17.txt,Spanish,Origins of Desire,Cristina Fernandez Cubas,"Omar, my love",Miriam Frank,,
es18.txt,Spanish,Origins of Desire,Valenti Puig,First Days,Andrew Langdon-Davies,,
es19.txt,Spanish,Origins of Desire,Luis Mateo Diez,"Albanito, my friend",David M. Lambert,,
es20.txt,Spanish,Origins of Desire,Ignacio Martinez de Pison,Buffalo,Jason Wilson,,
fr01.txt,French ,Project Gutenberg,Honore de Balzac,The Recruit, Katharine Prescott Wormeley,,
fr02.txt,French ,,Albert Camus,The Guest, Justin O'Brien,,
fr03.txt,French ,,Geroge Perec,Things: A Story of the Sixties,Helen R. Lane,,
fr04.txt,French ,Project Gutenberg: Library of the world's best mystery and detective stories ,Guy de Maupassant,The Necklace,Julian Hawthorne,,
fr05.txt,French ,Project Gutenberg,Voltaire,"Micromegas, Philosophical History",Peter Phalen,,
fr06.txt,French ,,Marcel Aymé,The man who could walk through walls,Karen Reshkin,,
fr07.txt,French ,"Tales Before Supper. New York: Brentanos, 1887.",Prosper Mérimée,The Venus of Ille,Myndart Verelst,,
fr08.txt,French ,,Victor Hugo,Claude Gueux,the Nottingham Society,,
fr09.txt,French ,,Anonymous,The Chatelaine of Vergi,Alice Kemp–Welch,,
fr10.txt,French ,Project Gutenberg,Théophile Gautier,The Mummy's Foot,Lafcadio Hearn,,
fr11.txt,French ,The New Yorker,Leïla Slimani,The Confession,Sam Taylor,,
fr12.txt,French ,,Colette,The Hand ,unkown,,
fr13.txt,French ,,Jean Giono,The Man Who Planted Trees,unkown,,
fr14.txt,French ,Project Gutenberg,Francois Coppee,A Piece of Bread,Francis J. Reynolds,,
fr15.txt,French ,Project Gutenberg,CAMILLE LEMONNIER,St. Nicholas Eve,Edith Wingate Rinder,,
fr16.txt,French ,,Marguerite de Navarre (d'Angoulême) Duchesse d'Alençon,"The Heptameron of Margaret, Queen of Navarre Introduction",Walter K. Kelly,,
fr17.txt,French ,The Man-Wolf and Other Tales,Emile Erckmann and Alexandre Chatrian,Myrtle,"""F.A.M"" (The Vicaraqe, Broughton-in-Furness)",,
fr18.txt,French ,"FIVE BOOKS OF THE LIVES, HEROIC DEEDS AND SAYINGS OF GARGANTUA AND HIS SON PANTAGRUEL",Francois Rabelais,"Five Books Of The Lives, Heroic Deeds And Sayings Of Gargantua And His Son Pantagruel: Author's Prologue and Chapter 1, Book 1",Sir Thomas Urquhart of Cromarty and Peter Antony Motteux,,
fr19.txt,French ,The Fairy Tales of Madame D'Aulnoy,Madame D'Aulnoy,Prince Ariel ,Miss Annie Macdonell and Miss Lee,1892,
fr20.txt,French ,Project Gutenberg,Maurice Le Blanc,The Eight Strokes of the Clock,unkown,,
gr01.txt,German,,Thomas Mann,Death in Venice,Michael Henry Heim,1912,2005
gr02.txt,German,,E.T.A Hoffman,The Sandman,John Oxenford,1817,
gr03.txt,German,,Johann Wolfgang von Goethe,The Green Snake and the Beautiful Lily,Thomas Carlyle,1795,1832
gr04.txt,German,,Franz Kafka,In the Penal Colony,Ian Johnston,1919,
gr05.txt,German,,Carl Stephenson,Leiningen Versus the Ants,Carl Stephenson,1937,1938
gr06.txt,German,,Grimm Brothers,Bremen Town Musicians,Margaret Hunt,1819,1884
gr07.txt,German,,Novalis,The Story of Hyacinth and Roseblossom,Lillie Winter,1798,1845
gr08.txt,German,,Jeremias Gotthelf,The Broommaker of Rychiswyl,Robert Godwin-Jones,1852,1984
gr09.txt,German,,Gottfied Keller,A Little Legend of the Dance, M.D. Hottinger,1872,1930
gr10.txt,German,,Heinrich von Kleist,The Beggar Woman of Locarno, E.K. Bennett,1810,1934
id1.txt,Indonesian,All That is Gone,Pramoedya Ananta Toer,WORK IN PROGRESS,Willem Samuels,2004,1942
id2.txt,Indonesian,University of Hawaii,Kipandijikusmin,The Sky is Increasingly Cloudy,Marian de Walt Morgan,1968,
id3.txt,Indonesian,Words without Borders (reprint),Abidah El Khalieqy,Road to Heaven,John H. McGlynn,,2009
id4.txt,Indonesian,Words without Borders (reprint),Oka Rusmini,The Century Carver,Pamela Allen,,2009
id5.txt,Indonesian,Words without Borders (reprint),Clara Ng,Meteors,Toni Pollard,,2019
id6.txt,Indonesian,Words without Borders (reprint),Zen Hai,The Crow,Marjie Suanda,2007,2015
id7.txt,Indonesian,Words without Borders (reprint),M. Iksaka Banu,All for Hindia,Tjandra Kerton,2008,2015
id8.txt,Indonesian,Asian American Writers' Workshop,Intan Paramaditha,Apple and Knife,Stephen Epstein,,2015
id9.txt,Indonesian,Words without Borders (reprint),Linda Christanty,The Wild Cherry Tree,Debra Yatim,2010,2015
id10.txt,Indonesian,Words without Borders (reprint),Seno Gumira Ajidarma,Clara,Michael H. Bodden,,
id11.txt,Indonesian,Words without Borders (reprint),Etik Juwita,Maybe not Yem,Andy Fuller,,2009
id12.txt,Indonesian,Words without Borders (reprint),Raudal Tanjung Banua,The Biography of a Newborn Baby,Harry Aveling,,2019
ko01.txt,Korean,,Hwang Sun-Won,A Shower,Brother Anthony of Taize,,
ko02.txt,Korean,,Hyun Jin-geon,Home,Sora Kim-Russell,,
ko03.txt,Korean,,Han Mahl-Sook,Flood,Dong Sung Kim,,
ko04.txt,Korean,,Jung Mi Kyung,Memoirs of Lily-Colored Photographs,Chi-Young Kim,,
ko05.txt,Korean,,Ae-ran Kim,Ascending Scales,Jamie Chang,,
ko06.txt,Korean,,Je-ha Lee,A Traveler Never Stops on the Road,Jin-young Choi,,
ko07.txt,Korean,,Jung-Hee Oh,Garden of my Childhood,Ha-yun Jung,,
ko08.txt,Korean,,Tae-Won Park,The Barbershop Boy,Bruce Fulton,,
ko09.txt,Korean,,Min-gyu Park,"Say Ah, Pelican",Jenny Wang Medina,,
ko10.txt,Korean,,Chang-sop Sohn,Superfluous Men,Young-hee Chang,,
ko11.txt,Korean,,Yun Hu-Myong,White Ship,David E. Shaffer,,
ko12.txt,Korean,,Sunwoo Hui,Flame,Yong-chol Kim,,
ko13.txt,Korean,,Ch'ae Man-Shik,A Ready-Made Life,Kim Chong-on,,
ko14.txt,Korean,,Cheon Seung-se,Hye-ja's Snow Flowers,Suh Ji-moon,,
ko15.txt,Korean,,Cho Se-Hui,City of Machines,Marshall R. Phil,,
ko16.txt,Korean,,Ch'oe In-Hun,A Sonata of Lost Spring,Ryu Yong-kyun,,
ko17.txt,Korean,,Ch'oe In-ho,Deep Blue Night,Bruce and Ju-Chan Fulton,,
ko18.txt,Korean,,Chong Ch'ol,Lament of Love-Longing,Lee Sung-Il,,
ko19.txt,Korean,,Chong Pi-sok,The Songhwang Shrine,Myosik Park,,
ko20.txt,Korean,,Han Seung-Won,Father and Son,Julie Pickering and Yu Young-nan,,
ko21.txt,Korean,,Hyon Ki-Yong,The Last Cowboy,John M. Frankel,,
ko22.txt,Korean,,Im-Chol Woo,"With Her Oil Lamp, That Night",Agnita M. Tennant,,
ko23.txt,Korean,,Jo Kyung Ran,Looking for the Elephant,Heinz Insu Fenkl,,
ko24.txt,Korean,,Kim Chu-yong,Winter Bird,Kang Ji-hae,,
ko25.txt,Korean,,Kang Shin-Jae,The Young Zelkova Tree,Shin Hyun-song,,
ko26.txt,Korean,,Kim Jun Sung,Counterfeit,Joeng-min Gye,,
ko27.txt,Korean,,Kim Yong-hyon,Reunion So Far Away,Chun Kyung-ja,,
